from,to,ref,value,quality,parameter_id,station_id,date
1707717601000.0,1707804000000.0,2024-02-12,16.2,G,5,82230,
1707804001000.0,1707890400000.0,2024-02-13,0.8,G,5,82230,
1707890401000.0,1707976800000.0,2024-02-14,0.0,G,5,82230,
1707976801000.0,1708063200000.0,2024-02-15,16.5,G,5,82230,
1708063201000.0,1708149600000.0,2024-02-16,11.9,G,5,82230,
1708149601000.0,1708236000000.0,2024-02-17,0.0,G,5,82230,
1708236001000.0,1708322400000.0,2024-02-18,5.3,G,5,82230,
1708322401000.0,1708408800000.0,2024-02-19,0.0,G,5,82230,
1708408801000.0,1708495200000.0,2024-02-20,2.5,G,5,82230,
1708495201000.0,1708581600000.0,2024-02-21,1.1,G,5,82230,
1708581601000.0,1708668000000.0,2024-02-22,3.7,G,5,82230,
1708668001000.0,1708754400000.0,2024-02-23,5.4,G,5,82230,
1708754401000.0,1708840800000.0,2024-02-24,5.0,G,5,82230,
1708840801000.0,1708927200000.0,2024-02-25,3.6,G,5,82230,
1708927201000.0,1709013600000.0,2024-02-26,0.0,G,5,82230,
1709013601000.0,1709100000000.0,2024-02-27,0.0,G,5,82230,
1709100001000.0,1709186400000.0,2024-02-28,4.0,G,5,82230,
1709186401000.0,1709272800000.0,2024-02-29,0.0,G,5,82230,
1699142401000.0,1699228800000.0,2023-11-05,7.5,Y,2,97200,
1699228801000.0,1699315200000.0,2023-11-06,7.7,Y,2,97200,
1699315201000.0,1699401600000.0,2023-11-07,6.2,Y,2,97200,
1699401601000.0,1699488000000.0,2023-11-08,5.7,Y,2,97200,
1699488001000.0,1699574400000.0,2023-11-09,5.8,Y,2,97200,
1699574401000.0,1699660800000.0,2023-11-10,6.9,Y,2,97200,
1699660801000.0,1699747200000.0,2023-11-11,6.3,Y,2,97200,
1699747201000.0,1699833600000.0,2023-11-12,3.6,Y,2,97200,
1699833601000.0,1699920000000.0,2023-11-13,1.3,Y,2,97200,
1699920001000.0,1700006400000.0,2023-11-14,1.3,Y,2,97200,
1700006401000.0,1700092800000.0,2023-11-15,0.5,Y,2,97200,
1700092801000.0,1700179200000.0,2023-11-16,-0.8,Y,2,97200,
1700179201000.0,1700265600000.0,2023-11-17,-0.6,Y,2,97200,
1700265601000.0,1700352000000.0,2023-11-18,-2.3,Y,2,97200,
1700352001000.0,1700438400000.0,2023-11-19,-3.1,Y,2,97200,
1700438401000.0,1700524800000.0,2023-11-20,0.7,Y,2,97200,
1700524801000.0,1700611200000.0,2023-11-21,-0.1,Y,2,97200,
1700611201000.0,1700697600000.0,2023-11-22,-2.1,Y,2,97200,
1700697601000.0,1700784000000.0,2023-11-23,4.0,Y,2,97200,
1700784001000.0,1700870400000.0,2023-11-24,-0.0,Y,2,97200,
